timestamp,filename,rain,rain_class,total_rain
2023-02-14 10:05:00,SMM00894_20230214_100500.wav,0,no rain,0.0
2023-02-14 10:10:00,SMM00894_20230214_101011.wav,0,no rain,0.0
2023-02-14 10:15:00,SMM00894_20230214_101500.wav,0,no rain,0.0
2023-02-14 10:20:00,SMM00894_20230214_102000.wav,0,no rain,0.0
2023-02-14 10:25:00,SMM00894_20230214_102500.wav,0,no rain,0.0
2023-02-14 10:30:00,SMM00894_20230214_103000.wav,0,no rain,0.0
2023-02-14 10:35:00,SMM00894_20230214_103500.wav,0,no rain,0.0
2023-02-14 10:40:00,SMM00894_20230214_104000.wav,0,no rain,0.0
2023-02-14 10:45:00,SMM00894_20230214_104500.wav,0,no rain,0.2
2023-02-14 10:50:00,SMM00894_20230214_105000.wav,0,no rain,0.0
2023-02-14 10:55:00,SMM00894_20230214_105500.wav,0,no rain,0.0
2023-02-14 11:00:00,SMM00894_20230214_110000.wav,0,no rain,0.0
2023-02-14 11:05:00,SMM00894_20230214_110500.wav,0,no rain,0.0
2023-02-14 11:10:00,SMM00894_20230214_111000.wav,0,no rain,0.0
2023-02-14 11:15:00,SMM00894_20230214_111500.wav,0,no rain,0.0
2023-02-14 11:20:00,SMM00894_20230214_112000.wav,0,no rain,0.0
2023-02-14 11:25:00,SMM00894_20230214_112500.wav,0,no rain,0.0
2023-02-14 11:30:00,SMM00894_20230214_113000.wav,0,no rain,0.0
2023-02-14 11:35:00,SMM00894_20230214_113500.wav,0,no rain,0.0
2023-02-14 11:40:00,SMM00894_20230214_114000.wav,0,no rain,0.0
2023-02-14 11:45:00,SMM00894_20230214_114500.wav,0,no rain,0.0
2023-02-14 11:50:00,SMM00894_20230214_115000.wav,0,no rain,0.0
2023-02-14 11:55:00,SMM00894_20230214_115500.wav,0,no rain,0.0
2023-02-14 12:00:00,SMM00894_20230214_120000.wav,0,no rain,0.0
2023-02-14 12:05:00,SMM00894_20230214_120500.wav,0,no rain,0.0
2023-02-14 12:10:00,SMM00894_20230214_121000.wav,0,no rain,0.0
2023-02-14 12:15:00,SMM00894_20230214_121500.wav,0,no rain,0.0
2023-02-14 12:20:00,SMM00894_20230214_122000.wav,0,no rain,0.0
2023-02-14 12:25:00,SMM00894_20230214_122500.wav,0,no rain,0.0
2023-02-14 12:30:00,SMM00894_20230214_123000.wav,0,no rain,0.0
2023-02-14 12:35:00,SMM00894_20230214_123500.wav,0,no rain,0.0
2023-02-14 12:40:00,SMM00894_20230214_124000.wav,0,no rain,0.0
2023-02-14 12:45:00,SMM00894_20230214_124500.wav,0,no rain,0.0
2023-02-14 12:50:00,SMM00894_20230214_125000.wav,0,no rain,0.0
2023-02-14 12:55:00,SMM00894_20230214_125500.wav,0,no rain,0.0
2023-02-14 13:00:00,SMM00894_20230214_130000.wav,0,no rain,0.0
2023-02-14 13:05:00,SMM00894_20230214_130500.wav,0,no rain,0.0
2023-02-14 13:10:00,SMM00894_20230214_131000.wav,0,no rain,0.0
2023-02-14 13:15:00,SMM00894_20230214_131500.wav,0,no rain,0.0
2023-02-14 13:20:00,SMM00894_20230214_132000.wav,0,no rain,0.0
2023-02-14 13:25:00,SMM00894_20230214_132500.wav,0,no rain,0.0
2023-02-14 13:30:00,SMM00894_20230214_133000.wav,0,no rain,0.0
2023-02-14 13:35:00,SMM00894_20230214_133500.wav,0,no rain,0.0
2023-02-14 13:40:00,SMM00894_20230214_134000.wav,0,no rain,0.0
2023-02-14 13:45:00,SMM00894_20230214_134500.wav,0,no rain,0.0
2023-02-14 13:50:00,SMM00894_20230214_135000.wav,0,no rain,0.0
